,game.away.abbr,game.away.errors,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.errors,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.win,game.home_team,game.id,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,PHI,0,0,2142e1ba-3b40-445c-b8bb-f1f8b1054220,7,Philadelphia,Phillies,2.25,Vincent,4ec0aafd-a982-4521-b963-b26371dc8327,21,Velasquez,0,Vince,0,0,11,2142e1ba-3b40-445c-b8bb-f1f8b1054220,SportsNet RM,full,N,False,1,COL,0,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,12,Colorado,Rockies,2.0,German,2764f896-603a-42bb-b031-f50893d42a63,48,Márquez,1,German,2,0,7,29dd9a87-5bcc-4774-80c3-7f50d985068b,f6a27fab-378b-44c8-965e-716a8e88a98d,2019-04-20T00:40:00+00:00,scheduled,2001 Blake Street,50398,Denver,USA,N,85dd5cd6-7324-4b52-a1cc-68f816d0cdce,39.7559779,-104.9933491,Colorado,Coors Field,outdoor,CO,grass,80205,0,Sunny,31,21,2019-04-19T11:38:17.000Z,73,ESE,7
1,NYM,0,0,f246a5e5-afdb-479c-9aaa-c68beeda7af6,8,New York,Mets,14.211,Jason,2d60f0d5-dacb-40dd-b9a2-adb7716b40e2,44,Vargas,0,Jason,1,0,10,f246a5e5-afdb-479c-9aaa-c68beeda7af6,MLB Network,full,N,False,1,STL,0,0,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,8,St. Louis,Cardinals,3.938,Adam,c399c961-1b45-430c-858e-f0a33ae0af85,50,Wainwright,1,Adam,1,0,10,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,e5fa6648-0c8c-48fc-bd4d-8a32bc74433f,2019-04-20T00:15:00+00:00,scheduled,700 Clark Street,45538,St. Louis,USA,NE,83cc591a-1096-4383-a6ca-e2bd6f8db629,38.6226441,-90.1928125,St. Louis,Busch Stadium,outdoor,MO,grass,63102,86,Light rain,35,62,2019-04-19T11:38:15.000Z,48,NNW,14
2,LAD,0,0,ef64da7f-cfaf-4300-87b0-9313386b977c,8,Los Angeles,Dodgers,2.919,Thomas,b2fdb7e8-a700-408c-b238-a077165c4745,68,Stripling,1,Ross,1,0,13,ef64da7f-cfaf-4300-87b0-9313386b977c,FS-WI,full,N,False,1,MIL,0,0,dcfd5266-00ce-442c-bc09-264cd20cf455,8,Milwaukee,Brewers,6.517,Jhoulys,0dbcd440-68fd-4e69-af97-8a7076f21eaf,45,Chacín,2,Jhoulys,2,0,12,dcfd5266-00ce-442c-bc09-264cd20cf455,90bd31bb-46cd-47a9-9a12-2b4c30e2781b,2019-04-20T00:10:00+00:00,scheduled,One Brewers Way,41900,Milwaukee,USA,SE,3d13c8a7-283f-482b-ade1-441e25b6465d,43.02873899999999,-87.9713034,Milwaukee,Miller Park,retractable,WI,grass,53214,75,Cloudy,25,43,2019-04-19T11:38:12.000Z,46,NNE,19
3,ATL,0,0,12079497-e414-450a-8bf2-29f91de646bf,9,Atlanta,Braves,0.0,Dany,44bdf132-b09d-4f16-95cf-43ff690aff61,62,Toussaint,0,Touki,1,0,9,12079497-e414-450a-8bf2-29f91de646bf,FS-OH,full,N,False,1,CLE,0,0,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,7,Cleveland,Indians,6.158,Corey,48982279-0e43-4d94-95fb-fd5e623b54b6,28,Kluber,2,Corey,1,0,11,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,f6ac49c8-8158-4098-ba89-1e7121f9289f,2019-04-19T23:10:00+00:00,scheduled,2401 Ontario Street,35225,Cleveland,USA,N,2b0ccd49-4d87-4996-ac4d-27ffc7ee4c16,41.4957048,-81.6852732,Cleveland,Progressive Field,outdoor,OH,grass,44115,100,Light rain shower,48,93,2019-04-19T11:38:18.000Z,51,SW,10
4,WSH,0,0,d89bed32-3aee-4407-99e3-4103641b999a,8,Washington,Nationals,4.86,Aníbal,a6797bdd-683b-404e-b974-3546f93c6c47,19,Sánchez,1,Aníbal,0,0,9,d89bed32-3aee-4407-99e3-4103641b999a,FS-FL,full,N,False,1,MIA,0,0,03556285-bdbb-4576-a06d-42f71f46ddc5,15,Miami,Marlins,2.647,Caleb,380a89ad-e137-4bd7-bc7d-f6b3c40d6ca2,31,Smith,0,Caleb,1,0,4,03556285-bdbb-4576-a06d-42f71f46ddc5,f307fb0e-3f8f-42ba-9ef8-777632dee102,2019-04-19T23:10:00+00:00,scheduled,501 Marlins Way,36742,Miami,USA,SE,d5a66fb3-ff26-4f36-910c-3df5cedb36b3,25.7780567,-80.2194087,Miami,Marlins Park,retractable,FL,grass,33125,39,Partly cloudy,67,54,2019-04-19T11:38:16.000Z,86,SSW,21
5,CWS,0,0,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,11,Chicago,White Sox,3.273,Carlos,b5fe445d-6ac4-4542-a73c-69afced32a97,55,Rodón,2,Carlos,2,0,7,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,FS-DET,full,N,False,1,DET,0,0,575c19b7-4052-41c2-9f0a-1c5813d02f99,9,Detroit,Tigers,4.286,Jordan,8f131591-cc6e-43ad-a6e2-b15963fcb6ba,27,Zimmermann,2,Jordan,0,0,9,575c19b7-4052-41c2-9f0a-1c5813d02f99,e95aa6cb-10c9-400e-8cee-7e2757f56cd1,2019-04-19T23:10:00+00:00,scheduled,2100 Woodward Avenue,41297,Detroit,USA,SE,ef9a5eef-06c6-4963-ac70-7fd02c8c8d42,42.3391886,-83.04947829999999,Detroit,Comerica Park,outdoor,MI,grass,48226,100,Light drizzle,36,84,2019-04-19T11:38:16.000Z,42,NNE,20
6,ARI,0,0,25507be1-6a68-4267-bd82-e097d94b359b,9,Arizona,Diamondbacks,3.789,Kenneth,871f04aa-367c-48fb-8ae5-a5bd9e27cb8b,29,Kelly,1,Merrill,1,0,10,25507be1-6a68-4267-bd82-e097d94b359b,MLB Network,full,D,False,1,CHC,0,0,55714da8-fcaf-4574-8443-59bfb511a524,9,Chicago,Cubs,5.4,Kyle,dec510da-0104-48f0-892f-37a9ab9d02ff,28,Hendricks,3,Kyle,0,0,8,55714da8-fcaf-4574-8443-59bfb511a524,ab33da86-ae42-4bb5-9b2f-897e427d3c59,2019-04-19T18:20:00+00:00,scheduled,1060 West Addison Street,41649,Chicago,USA,NE,53f8eb0d-a361-4a7a-930b-2f8735ea0698,41.9474473,-87.6560538,Chicago,Wrigley Field,outdoor,IL,grass,60613,100,Light rain,34,72,2019-04-19T11:38:13.000Z,42,N,22
7,SEA,0,0,43a39081-52b4-4f93-ad29-da7f329ea960,8,Seattle,Mariners,3.194,Marco,4f914367-3a65-42d2-a6c4-28d9614e256f,7,Gonzales,0,Marco,4,0,14,43a39081-52b4-4f93-ad29-da7f329ea960,FS-W,full,N,False,1,LAA,0,0,4f735188-37c8-473d-ae32-1f7e34ccf892,11,Los Angeles,Angels,3.649,Félix,e731ad98-6a9f-455a-9d61-fdec0368f62c,64,Peña,1,Félix,0,0,8,4f735188-37c8-473d-ae32-1f7e34ccf892,bd3854d2-c78b-405e-abb6-e080c5dfd044,2019-04-20T02:07:00+00:00,scheduled,2000 Gene Autry Way,45050,Anaheim,USA,NE,60732da9-ad03-4feb-9a36-aee3e98c7a2b,33.7996617,-117.8834384,Los Angeles,Angel Stadium of Anaheim,outdoor,CA,grass,92806,23,Partly cloudy,45,31,2019-04-19T11:38:14.000Z,78,WSW,8
8,MIN,0,0,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,7,Minnesota,Twins,2.305,José,56da7cb9-5975-46cd-8c63-96fce1245945,17,Berríos,1,José,2,0,9,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,MASN,full,N,False,1,BAL,0,0,75729d34-bca7-4a0f-b3df-6f26c6ad3719,12,Baltimore,Orioles,3.176,Alexander,d2c5e643-fe5d-4ece-8f1e-560d6b2048ed,17,Cobb,0,Alex,0,0,8,75729d34-bca7-4a0f-b3df-6f26c6ad3719,13170b14-142b-4d4a-9fe1-b1c25ed4f05b,2019-04-19T23:05:00+00:00,scheduled,333 West Camden Street,45971,Baltimore,USA,NE,434aa63c-1049-4a54-a6bc-3790c7772ee1,39.2840361,-76.619919,Baltimore,Oriole Park at Camden Yards,outdoor,MD,grass,21201,100,Moderate or heavy rain shower,63,84,2019-04-19T11:38:09.000Z,69,S,17
9,BOS,0,0,93941372-eb4c-4c40-aced-fe3267174393,13,Boston,Red Sox,7.977,Eduardo,93413a68-2c05-405a-a38c-9ee983b36913,57,Rodríguez,2,Eduardo,1,0,6,93941372-eb4c-4c40-aced-fe3267174393,SUN,full,N,False,1,TB,0,0,bdc11650-6f74-49c4-875e-778aeb7632d9,5,Tampa Bay,Rays,1.929,Ryne,ef2a7fa6-94d5-4875-b205-c5f2bd30758a,55,Stanek,0,Ryne,0,0,14,bdc11650-6f74-49c4-875e-778aeb7632d9,2cc07b1b-9afa-47dc-b0e4-7b4babca7ff1,2019-04-19T23:10:00+00:00,scheduled,One Tropicana Drive,42735,St. Petersburg,USA,NE,3aaaf4af-0f8c-49c1-8bf1-1780bb5a5f5c,27.768188,-82.653408,Tampa Bay,Tropicana Field,indoor,FL,turf,33705,90,Heavy rain at times,61,78,2019-04-19T11:38:11.000Z,68,WNW,20
