,game.away.abbr,game.away.current_pitcher.era,game.away.current_pitcher.first_name,game.away.current_pitcher.id,game.away.current_pitcher.jersey_number,game.away.current_pitcher.last_name,game.away.current_pitcher.loss,game.away.current_pitcher.preferred_name,game.away.current_pitcher.win,game.away.errors,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.scoring,game.away.starting_pitcher.era,game.away.starting_pitcher.first_name,game.away.starting_pitcher.id,game.away.starting_pitcher.jersey_number,game.away.starting_pitcher.last_name,game.away.starting_pitcher.loss,game.away.starting_pitcher.preferred_name,game.away.starting_pitcher.win,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.current_pitcher.era,game.home.current_pitcher.first_name,game.home.current_pitcher.id,game.home.current_pitcher.jersey_number,game.home.current_pitcher.last_name,game.home.current_pitcher.loss,game.home.current_pitcher.preferred_name,game.home.current_pitcher.win,game.home.errors,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.scoring,game.home.starting_pitcher.era,game.home.starting_pitcher.first_name,game.home.starting_pitcher.id,game.home.starting_pitcher.jersey_number,game.home.starting_pitcher.last_name,game.home.starting_pitcher.loss,game.home.starting_pitcher.preferred_name,game.home.starting_pitcher.win,game.home.win,game.home_team,game.id,game.outcome.count.balls,game.outcome.count.half_over,game.outcome.count.inning,game.outcome.count.inning_half,game.outcome.count.outs,game.outcome.count.strikes,game.outcome.current_inning,game.outcome.current_inning_half,game.outcome.hitter.ab_over,game.outcome.hitter.first_name,game.outcome.hitter.id,game.outcome.hitter.jersey_number,game.outcome.hitter.last_name,game.outcome.hitter.outcome_id,game.outcome.hitter.preferred_name,game.outcome.pitcher.first_name,game.outcome.pitcher.id,game.outcome.pitcher.jersey_number,game.outcome.pitcher.last_name,game.outcome.pitcher.pitch_speed,game.outcome.pitcher.pitch_type,game.outcome.pitcher.pitch_x,game.outcome.pitcher.pitch_y,game.outcome.pitcher.pitch_zone,game.outcome.pitcher.preferred_name,game.outcome.runners,game.outcome.type,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.current_conditions.cloud_cover,game.weather.current_conditions.condition,game.weather.current_conditions.dew_point_f,game.weather.current_conditions.humidity,game.weather.current_conditions.obs_time,game.weather.current_conditions.temp_f,game.weather.current_conditions.wind.direction,game.weather.current_conditions.wind.speed_mph,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,MIA,,,,,,,,,0,0,03556285-bdbb-4576-a06d-42f71f46ddc5,26,Miami,Marlins,4.098,Trevor,71948aff-effa-49e9-a040-396bc6b22f31,36,Richards,4,Trevor,0,0,,,,,,,,,,10,03556285-bdbb-4576-a06d-42f71f46ddc5,NBCS-CHI,full,D,False,1,CHC,,,,,,,,,0,0,55714da8-fcaf-4574-8443-59bfb511a524,13,Chicago,Cubs,5.786,Yu,cc672f14-6c84-4dde-8beb-90664d467843,11,Darvish,3.0,Yu,2.0,0,,,,,,,,,,21,55714da8-fcaf-4574-8443-59bfb511a524,cb71b555-4508-4de9-b4fd-bfaa3a059fa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09T18:20:00+00:00,scheduled,1060 West Addison Street,41649,Chicago,USA,NE,53f8eb0d-a361-4a7a-930b-2f8735ea0698,41.9474473,-87.6560538,Chicago,Wrigley Field,outdoor,IL,grass,60613,,,,,,,,,100,Moderate or heavy rain shower,44,77,2019-05-09T11:54:24.000Z,53,ESE,9
1,CWS,5.956,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,1.0,Manny,2.0,0,1,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,19,Chicago,White Sox,5.956,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,1,Manny,2,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}]",5.956,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,1.0,Manny,2.0,16,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,FS-OH,full,D,False,1,CLE,5.604,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,59,Carrasco,3.0,Carlos,2.0,0,1,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,16,Cleveland,Indians,5.604,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,59,Carrasco,3.0,Carlos,2.0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}]",5.604,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,59,Carrasco,3.0,Carlos,2.0,19,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,ffea2dc3-3553-40e1-ad3a-b023cc56f690,0.0,True,1.0,B,3.0,1.0,1.0,B,True,Carlos,86167542-e9cf-4d20-8022-7ed53dc09d0a,41,Santana,oGO,Carlos,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,85.0,SL,94.0,-34.0,6.0,Manny,"[{'preferred_name': 'José', 'first_name': 'José', 'last_name': 'Ramírez', 'jersey_number': '11', 'id': '17e633e5-e7a5-445c-8206-4770254ea2fd', 'outcome_id': '', 'starting_base': 1, 'ending_base': 1, 'out': False}]",half_over,2019-05-09T17:10:00+00:00,inprogress,2401 Ontario Street,35225,Cleveland,USA,N,2b0ccd49-4d87-4996-ac4d-27ffc7ee4c16,41.4957048,-81.6852732,Cleveland,Progressive Field,outdoor,OH,grass,44115,0.0,Sunny,59.0,52.0,2019-05-09T17:16:24.000Z,78.0,S,24.0,0,Sunny,59,52,2019-05-09T17:16:24.000Z,78,S,24
2,TEX,,,,,,,,,0,0,d99f919b-1534-4516-8e8a-9cd106c6d8cd,17,Texas,Rangers,2.404,Michael,f7188ee3-cf88-4a71-9b62-601ff63d9fe7,23,Minor,2,Mike,3,0,,,,,,,,,,17,d99f919b-1534-4516-8e8a-9cd106c6d8cd,SportsNet SW,full,N,False,1,HOU,,,,,,,,,0,0,eb21dadd-8f10-4095-8bf3-dfb3b779f107,15,Houston,Astros,3.203,Wade,d8326a8e-0f8a-49dc-b3a9-610ddfdc53b7,20,Miley,2.0,Wade,2.0,0,,,,,,,,,,22,eb21dadd-8f10-4095-8bf3-dfb3b779f107,d718e232-16e6-4e6d-8770-33d453e701dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-10T00:10:00+00:00,scheduled,501 Crawford Street,41168,Houston,USA,N,f0600f04-1386-4c61-a412-804960c46cb1,29.7577058,-95.35453989999999,Houston,Minute Maid Park,retractable,TX,grass,77002,,,,,,,,,78,Thundery outbreaks possible,72,63,2019-05-09T11:54:24.000Z,87,SE,8
3,WSH,,,,,,,,,0,0,d89bed32-3aee-4407-99e3-4103641b999a,22,Washington,Nationals,3.71,Patrick,0764772b-e8ab-42b3-9ee4-2b61af785e75,46,Corbin,1,Patrick,2,0,,,,,,,,,,14,d89bed32-3aee-4407-99e3-4103641b999a,MLB Network,full,N,False,1,LAD,,,,,,,,,0,0,ef64da7f-cfaf-4300-87b0-9313386b977c,14,Los Angeles,Dodgers,3.6,Richard,d9936d13-479d-43e0-a845-c74e17046622,44,Hill,0.0,Rich,0.0,0,,,,,,,,,,25,ef64da7f-cfaf-4300-87b0-9313386b977c,f552e822-eec7-4f7c-b19f-2fb2e636c9f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-10T02:10:00+00:00,scheduled,1000 Vin Scully Avenue,56000,Los Angeles,USA,NE,66a19c3d-24fe-477d-bee7-c6ef1b98352f,34.0745409,-118.2408881,Los Angeles,Dodger Stadium,outdoor,CA,grass,90012,,,,,,,,,72,Cloudy,52,61,2019-05-09T11:54:25.000Z,66,SW,8
4,LAA,2.348,Luke,b662d40c-1f68-4d79-8310-6254526fe8cf,39,Bard,1.0,Luke,0.0,0,0,4f735188-37c8-473d-ae32-1f7e34ccf892,20,Los Angeles,Angels,2.348,Luke,b662d40c-1f68-4d79-8310-6254526fe8cf,39,Bard,1,Luke,0,0,,,,,,,,,,16,4f735188-37c8-473d-ae32-1f7e34ccf892,FS-DET,full,D,False,1,DET,,Ryan,f33fc95b-a775-4887-984c-a98494fda8fb,31,Carpenter,,Ryan,,0,0,575c19b7-4052-41c2-9f0a-1c5813d02f99,17,Detroit,Tigers,,Ryan,f33fc95b-a775-4887-984c-a98494fda8fb,31,Carpenter,,Ryan,,0,,,,,,,,,,16,575c19b7-4052-41c2-9f0a-1c5813d02f99,49d0d6c1-198f-4b64-834a-e41d92b0c316,,,,,,,0.0,B,,,,,,,,,,,,,,,,,,,,2019-05-09T17:10:00+00:00,wdelay,2100 Woodward Avenue,41297,Detroit,USA,SE,ef9a5eef-06c6-4963-ac70-7fd02c8c8d42,42.3391886,-83.04947829999999,Detroit,Comerica Park,outdoor,MI,grass,48226,,,,,,,,,99,Moderate rain,61,89,2019-05-09T11:54:23.000Z,64,SSW,14
5,SEA,,,,,,,,,0,0,43a39081-52b4-4f93-ad29-da7f329ea960,19,Seattle,Mariners,4.909,Michael,7b54341a-7d39-4ea6-8b94-19ef145c8fba,8,Leake,3,Mike,2,0,,,,,,,,,,20,43a39081-52b4-4f93-ad29-da7f329ea960,MLB Network,full,N,False,1,NYY,,,,,,,,,0,0,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,15,New York,Yankees,4.93,James,9760f1d6-9560-45ed-bc73-5ec2205905a2,34,Happ,3.0,J.A.,1.0,0,,,,,,,,,,21,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,a438036b-fa8d-461e-8691-e4120862a039,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09T22:35:00+00:00,scheduled,One East 161st Street,47309,Bronx,USA,E,706e9828-6687-4ac8-a409-3fb972e8bae9,40.8288189,-73.9265691,New York,Yankee Stadium,outdoor,NY,grass,10451,,,,,,,,,100,Overcast,47,69,2019-05-09T11:54:23.000Z,57,ESE,12
6,ATL,,,,,,,,,0,0,12079497-e414-450a-8bf2-29f91de646bf,19,Atlanta,Braves,1.141,Michael,f7d2d621-f361-4e1b-b61e-b0f184d5ba74,40,Soroka,1,Mike,3,0,,,,,,,,,,18,12079497-e414-450a-8bf2-29f91de646bf,FS-AZ,full,N,False,1,ARI,,,,,,,,,0,0,25507be1-6a68-4267-bd82-e097d94b359b,16,Arizona,Diamondbacks,3.287,Luke,60b7e25e-7765-4d8b-82a6-d33e7179dae5,24,Weaver,1.0,Luke,3.0,0,,,,,,,,,,21,25507be1-6a68-4267-bd82-e097d94b359b,c65e6ab9-d028-407b-9cd0-ba1d3b1608e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-10T01:40:00+00:00,scheduled,401 East Jefferson Street,48519,Phoenix,USA,N,bf05de0d-7ced-4a19-8e17-2bbd985f8a92,33.4453626,-112.0674961,Arizona,Chase Field,retractable,AZ,turf,85004,,,,,,,,,6,Partly cloudy,22,11,2019-05-09T11:54:23.000Z,82,S,6
7,SF,,,,,,,,,0,0,a7723160-10b7-4277-a309-d8dd95a8ae65,20,San Francisco,Giants,5.344,Derek,bbf735b4-af04-4ad8-b3e0-ea02dae770c4,45,Holland,4,Derek,1,0,,,,,,,,,,16,a7723160-10b7-4277-a309-d8dd95a8ae65,MLB Network,full,D,False,1,COL,,,,,,,,,0,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,20,Colorado,Rockies,5.899,Kyle,e2081019-8ef0-471d-b6d6-1333a8a45897,21,Freeland,5.0,Kyle,2.0,0,,,,,,,,,,16,29dd9a87-5bcc-4774-80c3-7f50d985068b,de97f753-192b-44c7-b823-8c9e5bb6d135,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09T19:10:00+00:00,scheduled,2001 Blake Street,50398,Denver,USA,N,85dd5cd6-7324-4b52-a1cc-68f816d0cdce,39.7559779,-104.9933491,Colorado,Coors Field,outdoor,CO,grass,80205,,,,,,,,,91,Light rain,35,74,2019-05-09T11:54:25.000Z,43,E,4
8,PIT,,,,,,,,,0,0,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,16,Pittsburgh,Pirates,2.628,Joseph,9c12832b-c487-40d4-915b-e44097632d7c,59,Musgrove,3,Joe,1,0,,,,,,,,,,17,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,MLB Network,full,N,False,1,STL,,,,,,,,,0,0,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,16,St. Louis,Cardinals,5.17,Michael,db6ced3d-7838-4a7c-92a5-50d0b63dac3b,52,Wacha,0.0,Michael,2.0,0,,,,,,,,,,21,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,1f4ff575-3f7b-44b0-94b4-5ca36c0fe75d,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09T23:45:00+00:00,scheduled,700 Clark Street,45538,St. Louis,USA,NE,83cc591a-1096-4383-a6ca-e2bd6f8db629,38.6226441,-90.1928125,St. Louis,Busch Stadium,outdoor,MO,grass,63102,,,,,,,,,94,Light rain shower,55,81,2019-05-09T11:54:22.000Z,61,NW,11
9,CIN,,,,,,,,,0,0,c874a065-c115-4e7d-b0f0-235584fb0e6f,22,Cincinnati,Reds,3.821,Tanner,8a105ca8-aecd-4ef7-b6ad-efcecf934d01,35,Roark,1,Tanner,2,0,,,,,,,,,,15,c874a065-c115-4e7d-b0f0-235584fb0e6f,MLB Network,full,D,False,1,OAK,,,,,,,,,0,0,27a59d3b-ff7c-48ea-b016-4798f560f5e1,21,Oakland,Athletics,2.118,Christopher,90fa044f-7148-414c-af09-e0d4eb621775,40,Bassitt,0.0,Chris,1.0,0,,,,,,,,,,17,27a59d3b-ff7c-48ea-b016-4798f560f5e1,d0aaeb4a-1d7c-44e6-80f8-8863b930275f,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09T19:37:00+00:00,scheduled,7000 Coliseum Way,46765,Oakland,USA,NE,48cbd35a-d932-4a75-beab-067bfbacfc26,37.7503423,-122.2028058,Oakland,Oakland-Alameda County Coliseum,outdoor,CA,grass,94621,,,,,,,,,4,Partly cloudy,51,58,2019-05-09T11:54:24.000Z,67,WSW,9
