,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,LAD,ARI,6,5,9.177280090744476,9.5,2.0,11.0,UNDER,9.0,5.0,UNDER,100
1,PHI,SD,6,5,10.765386896163129,9.0,13.0,7.5,OVER,5.5,12.0,OVER,100
2,BOS,KC,6,5,10.189824993481253,8.5,9.0,3.5,OVER,5.5,8.0,UNDER,-100
3,ATL,PIT,6,5,9.771146910769644,9.5,6.0,11.0,UNDER,5.0,11.0,OVER,-100
4,COL,CHC,6,5,9.71057808737483,7.0,5.0,1.0,OVER,4.0,17.0,OVER,100
5,BAL,TEX,6,5,10.65690469602598,9.0,11.0,7.5,OVER,3.5,3.0,UNDER,-100
6,HOU,SEA,6,5,9.988026126508306,8.5,7.0,3.5,OVER,3.5,15.0,OVER,100
7,TB,DET,6,5,9.662202927900571,9.0,4.0,7.5,UNDER,3.5,4.0,UNDER,100
8,CIN,STL,6,5,10.03906984275457,9.5,8.0,11.0,UNDER,3.0,9.5,PUSH,0
9,OAK,LAA,6,5,10.474551110162947,9.0,10.0,7.5,OVER,2.5,19.0,OVER,100
10,NYY,TOR,6,5,8.936698335745447,8.5,1.0,3.5,UNDER,2.5,18.0,OVER,-100
11,CWS,WSH,6,5,10.748380247472944,10.5,12.0,13.0,UNDER,1.0,10.0,UNDER,100
12,SF,NYM,6,5,9.344804177888296,8.5,3.0,3.5,UNDER,0.5,7.0,UNDER,100
