,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
0,KC,100,0.0,7.5,4,OVER,DET,4,9.0,1.0,1.0,10.242429380422562,OVER,2019,2019-04-04
1,BOS,100,0.0,8.0,4,OVER,OAK,4,10.0,2.0,2.0,11.084751671047563,OVER,2019,2019-04-04
0,SD,0,3.0,9.0,13,PUSH,ARI,4,9.0,5.0,2.0,8.854732379065128,UNDER,2019,2019-04-13
1,DET,-100,3.0,8.0,13,UNDER,MIN,4,7.0,2.0,5.0,9.482377825323598,OVER,2019,2019-04-13
2,COL,0,3.0,7.0,13,PUSH,SF,4,7.0,1.0,4.0,9.473405395453591,OVER,2019,2019-04-13
3,HOU,100,2.0,8.5,13,UNDER,SEA,4,4.0,3.0,1.0,8.75553035066933,UNDER,2019,2019-04-13
4,PIT,100,2.0,9.0,13,UNDER,WSH,4,5.0,5.0,3.0,9.427720829932232,UNDER,2019,2019-04-13
5,LAA,100,1.0,9.0,13,OVER,CHC,4,11.0,5.0,6.0,10.065021798659751,OVER,2019,2019-04-13
6,BAL,100,0.0,11.0,13,OVER,BOS,4,14.0,7.0,7.0,10.539086511058429,OVER,2019,2019-04-13
0,PIT,-100,8.5,7.5,14,UNDER,WSH,4,7.0,3.5,12.0,10.480780387396386,OVER,2019,2019-04-14
1,TB,-100,5.5,8.0,14,OVER,TOR,4,12.0,6.5,1.0,8.786243924389854,UNDER,2019,2019-04-14
2,DET,100,4.5,7.5,14,OVER,MIN,4,10.0,3.5,8.0,10.096062853879156,OVER,2019,2019-04-14
3,SD,-100,4.5,8.0,14,OVER,ARI,4,12.0,6.5,2.0,9.22564155677765,UNDER,2019,2019-04-14
4,COL,-100,3.0,7.0,14,UNDER,SF,4,4.0,1.0,4.0,9.895756409046099,OVER,2019,2019-04-14
5,NYM,-100,3.0,8.5,14,OVER,ATL,4,10.0,8.0,5.0,9.947539864170066,UNDER,2019,2019-04-14
6,OAK,-100,3.0,10.0,14,OVER,TEX,4,15.0,12.0,9.0,10.380128989043657,UNDER,2019,2019-04-14
7,MIL,100,2.5,9.0,14,UNDER,LAD,4,8.0,9.5,7.0,10.057031559844924,UNDER,2019,2019-04-14
8,CLE,100,2.5,7.5,14,OVER,KC,4,17.0,3.5,6.0,10.054388960549174,OVER,2019,2019-04-14
9,HOU,100,0.5,7.5,14,UNDER,SEA,4,5.0,3.5,3.0,9.324432599632779,UNDER,2019,2019-04-14
10,CWS,-100,0.5,9.0,14,UNDER,NYY,4,7.0,9.5,10.0,10.406644803424923,OVER,2019,2019-04-14
11,BAL,-100,0.0,9.5,14,UNDER,BOS,4,4.0,11.0,11.0,10.435093808397614,OVER,2019,2019-04-14
0,HOU,-100,13.0,10.5,14,OVER,DET,5,15.0,15.0,2.0,9.377138968688117,UNDER,2019,2019-05-14
1,CLE,100,9.5,8.0,14,OVER,CWS,5,9.0,4.5,14.0,10.581750990715737,OVER,2019,2019-05-14
