,away,home,month,day,predicted.runs,bookie,outcome,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,game.result,bet.result
13,LAD,MIL,4,20,8.587728675197194,9.0,5.0,2.0,9.5,UNDER,7.5,UNDER,100
16,MIN,BAL,4,20,9.659283405048754,10.0,23.0,6.0,12.0,UNDER,6.0,OVER,-100
6,CIN,SD,4,20,9.836052853595891,7.0,6.0,8.0,2.5,OVER,5.5,UNDER,-100
7,ATL,CLE,4,20,9.98844480254893,7.5,15.0,10.0,5.0,OVER,5.0,OVER,100
11,SF,PIT,4,20,9.740170282488068,7.0,4.0,7.0,2.5,OVER,4.5,UNDER,-100
14,TOR,OAK,4,20,9.397766276236572,8.0,11.0,3.0,6.5,UNDER,3.5,OVER,-100
5,ARI,CHC,4,20,9.625031850171007,7.0,6.0,5.0,2.5,OVER,2.5,UNDER,-100
12,BOS,TB,4,20,9.604805754864326,8.0,11.0,4.0,6.5,UNDER,2.5,OVER,-100
1,SEA,LAA,4,20,10.160852350402768,9.0,11.0,11.0,9.5,OVER,1.5,OVER,100
15,WSH,MIA,4,20,8.445636264520777,7.0,12.0,1.0,2.5,UNDER,1.5,OVER,-100
3,HOU,TEX,4,20,10.263586052691794,9.5,13.0,12.0,11.0,OVER,1.0,OVER,100
4,ATL,CLE,4,20,9.902948761934676,8.5,12.0,9.0,8.0,OVER,1.0,OVER,100
9,PHI,COL,4,20,10.533876589501778,10.5,13.0,13.0,13.0,OVER,0.0,OVER,100
