,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,OAK,TOR,4,26,9.106926808101822,9.0,1.0,11.5,UNDER,10.5,6.0,UNDER,100
1,SD,WSH,4,26,10.38215868751951,7.0,12.0,2.0,OVER,10.0,7.0,PUSH,0
2,CHC,ARI,4,26,9.116864045939145,9.0,2.0,11.5,UNDER,9.5,11.0,OVER,-100
3,PIT,LAD,4,26,10.233874395559297,7.5,10.0,3.5,OVER,6.5,8.0,OVER,100
4,MIA,PHI,4,26,10.729803503440133,8.5,13.0,7.5,OVER,5.5,4.0,UNDER,-100
5,CLE,HOU,4,26,9.485271941952504,8.5,3.0,7.5,UNDER,4.5,9.0,OVER,-100
6,BAL,MIN,4,26,9.989064548024167,9.0,7.0,11.5,UNDER,4.5,7.0,UNDER,100
7,NYY,SF,4,26,9.556338101630482,6.5,5.0,1.0,OVER,4.0,10.0,OVER,100
8,CIN,STL,4,26,10.012794451841136,8.0,8.0,5.0,OVER,3.0,13.0,OVER,100
9,TEX,SEA,4,26,9.855676431052434,8.5,6.0,7.5,UNDER,1.5,9.0,OVER,-100
10,COL,ATL,4,26,10.056214388358168,8.5,9.0,7.5,OVER,1.5,12.0,OVER,100
11,DET,CWS,4,26,10.261108320823793,9.0,11.0,11.5,UNDER,0.5,23.0,OVER,-100
12,MIL,NYM,4,26,9.530966973595023,7.5,4.0,3.5,OVER,0.5,12.0,OVER,100
